SUBJECT,CATALOG NUMBER,SECTION,COURSE TITLE,INSTRUCTOR,INSTR STATUS,ENROLL CAP,ROOM CAP,CLASS LOCATION,FACILITY,FACILITY TYPE,SESSION,CLASS MEETING PATTERN,START TIME,END TIME,COMBINED WITH,DISPLAYED SECTION NOTES,COMMENTS
COMP,125,1,Visual Information Processing,"Naiman,Channah",NTT,30,35,LSC,CC 105,,,TTr,1:00:00 PM,2:15:00 PM,,,
COMP,125,2,Visual Information Processing,"Naiman,Channah",NTT,30,35,LSC,CC 105,,,Tr,4:15:00 PM,6:45:00 PM,,,
COMP,150,1,Introduction to Computing,"Romer,Zachary",PT,30,35,LSC,CC 105,,,TTr,2:30:00 PM,3:45:00 PM,,,
COMP,150,2,Introduction to Computing,"Romer,Zachary",PT,30,35,LSC,CC 105,,,TTr,11:30:00 AM,12:45:00 PM,,,move pending to MW 2:45-4
COMP,150,3,Introduction to Computing,,PT,30,35,LSC,CC 105,,,MW,12:10:00 PM,1:25:00 PM,,,Jiwan if still around - need to hire as PT fac - otherwise Zach
COMP,163,1,Discrete Structures,"Tuckey,Curtis D",PT,30,40,LSC,,,,MW,7:00:00 PM,8:15:00 PM,,,
COMP,163,2,Discrete Structures,"Tuckey,Curtis D",PT,30,40,LSC,,,,MW,4:15:00 PM,5:30:00 PM,,,
COMP,170,1,Introduction to Object-Oriented Programming,"Yacobellis,Robert",NTT,25,35,LSC,CC 103,,,TTr,10:00:00 AM,11:15:00 AM,,Enrolling in this course will also enroll you in its lab section (01L). Meeting time is effectively 10:00 AM - 11:55 AM.,
COMP,170,2,Introduction to Object-Oriented Programming,"Harrington,Andrew N",TT,25,35,LSC,CC 103,,,TTr,1:00:00 PM,2:15:00 PM,,"Enrolling in this course will also enroll you in its lab section (02L). Meeting time is effectively 12:20 PM - 2:15 PM.
",
COMP,170,3,Introduction to Object-Oriented Programming,"Naiman,Channah",NTT,25,35,LSC,CC 105,,,T,4:15:00 PM,6:45:00 PM,,"Enrolling in this course will also enroll you in its lab section (03L). Meeting time is effectively 4:15 PM - 7:45 PM.
",
